,date,username,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
77,2022-04-06 06:10:17,petugaspartei,bongkar aja lah biar mewek lagi tito tag jogja turu subuh inisial tito,"['bongkar', 'aja', 'lah', 'biar', 'mewek', 'lagi', 'tito', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['bongkar', 'aja', 'biar', 'mewek', 'tito', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['bongkar', 'aja', 'biar', 'mewek', 'tito', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
78,2022-04-06 06:10:16,Gelar_AM,udah kena virus akut serta takut kehilangan jabatan,"['udah', 'kena', 'virus', 'akut', 'serta', 'takut', 'kehilangan', 'jabatan']","['udah', 'kena', 'virus', 'akut', 'takut', 'kehilangan', 'jabatan']","['udah', 'kena', 'virus', 'akut', 'takut', 'hilang', 'jabat']"
79,2022-04-06 06:09:46,petugaspartei,rezim rakus tag jogja turu subuh inisial tito,"['rezim', 'rakus', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['rezim', 'rakus', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['rezim', 'rakus', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
80,2022-04-06 06:09:24,petugaspartei,mana berani tito tag jogja turu subuh inisial tito,"['mana', 'berani', 'tito', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['berani', 'tito', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']","['berani', 'tito', 'tag', 'jogja', 'turu', 'subuh', 'inisial', 'tito']"
81,2022-04-06 06:08:21,SepihY,rakyat sudah sangat menderita dan terzolimi,"['rakyat', 'sudah', 'sangat', 'menderita', 'dan', 'terzolimi']","['rakyat', 'menderita', 'terzolimi']","['rakyat', 'derita', 'terzolimi']"
82,2022-04-06 06:08:19,firmanjz5,,[''],[''],['']
83,2022-04-06 06:05:31,themomentyousaw,mau berapapun periode akan terjadi itu kehendak allah yang allah perintahkan adalah melawan kedzaliman,"['mau', 'berapapun', 'periode', 'akan', 'terjadi', 'itu', 'kehendak', 'allah', 'yang', 'allah', 'perintahkan', 'adalah', 'melawan', 'kedzaliman']","['periode', 'kehendak', 'allah', 'allah', 'perintahkan', 'melawan', 'kedzaliman']","['periode', 'hendak', 'allah', 'allah', 'perintah', 'lawan', 'kedzaliman']"
84,2022-04-06 06:04:39,TjiangSae,satu nusa satu bangsa satukan kata kita,"['satu', 'nusa', 'satu', 'bangsa', 'satukan', 'kata', 'kita']","['nusa', 'bangsa', 'satukan']","['nusa', 'bangsa', 'satu']"
85,2022-04-06 06:03:57,Nina70608406,aku sll pengen bilang,"['aku', 'sll', 'pengen', 'bilang']","['sll', 'pengen', 'bilang']","['sll', 'ken', 'bilang']"
86,2022-04-06 06:03:55,Spuyer_Rojokan,aamiin rabbal alamin,"['aamiin', 'rabbal', 'alamin']","['aamiin', 'rabbal', 'alamin']","['aamiin', 'rabbal', 'alamin']"
87,2022-04-06 06:03:53,DSekarlangit,,[''],[''],['']
88,2022-04-06 06:03:30,militanvespa,lah masih hidup kan kenapa,"['lah', 'masih', 'hidup', 'kan', 'kenapa']",['hidup'],['hidup']
89,2022-04-06 06:02:55,DSekarlangit,anakstm,['anakstm'],['anakstm'],['anakstm']
90,2022-04-06 06:02:02,RadenKianSayang,silalahi abang sih kebangetan mosok kita diajak emangnya bisaaaaaa kalau bisa ayolah kita,"['silalahi', 'abang', 'sih', 'kebangetan', 'mosok', 'kita', 'diajak', 'emangnya', 'bisaaaaaa', 'kalau', 'bisa', 'ayolah', 'kita']","['silalahi', 'abang', 'sih', 'kebangetan', 'mosok', 'diajak', 'emangnya', 'bisaaaaaa', 'ayolah']","['silalahi', 'abang', 'sih', 'banget', 'mosok', 'ajak', 'emang', 'bisaaaaaa', 'ayo']"
91,2022-04-06 06:02:00,Chroomatic,terimakasih atas kehadirannya,"['terimakasih', 'atas', 'kehadirannya']","['terimakasih', 'kehadirannya']","['terimakasih', 'hadir']"
92,2022-04-06 06:01:02,kowy_sakhowy,yang penting perut mereka kenyang dulu masa bodo dengan nelayan dan rakyatnya,"['yang', 'penting', 'perut', 'mereka', 'kenyang', 'dulu', 'masa', 'bodo', 'dengan', 'nelayan', 'dan', 'rakyatnya']","['perut', 'kenyang', 'bodo', 'nelayan', 'rakyatnya']","['perut', 'kenyang', 'bodo', 'nelayan', 'rakyat']"
93,2022-04-06 06:00:48,Donna23329416,penderitaan oleh bangsa sendiri lebih menyakitkan drpada bangsa asing lawan penjajah merdeka atau mati,"['penderitaan', 'oleh', 'bangsa', 'sendiri', 'lebih', 'menyakitkan', 'drpada', 'bangsa', 'asing', 'lawan', 'penjajah', 'merdeka', 'atau', 'mati']","['penderitaan', 'bangsa', 'menyakitkan', 'drpada', 'bangsa', 'asing', 'lawan', 'penjajah', 'merdeka', 'mati']","['derita', 'bangsa', 'sakit', 'drpada', 'bangsa', 'asing', 'lawan', 'jajah', 'merdeka', 'mati']"
94,2022-04-06 06:00:31,DSekarlangit,,[''],[''],['']
95,2022-04-06 05:59:55,keepithink_crab,ti game over,"['ti', 'game', 'over']","['ti', 'game', 'over']","['ti', 'game', 'over']"
96,2022-04-06 05:59:53,teloogodhog,air supply,"['air', 'supply']","['air', 'supply']","['air', 'supply']"
97,2022-04-06 05:59:36,DSekarlangit,felis,['felis'],['felis'],['felis']
98,2022-04-06 05:59:10,DSekarlangit,aamiin aamii yra,"['aamiin', 'aamii', 'yra']","['aamiin', 'aamii', 'yra']","['aamiin', 'aamii', 'yra']"
99,2022-04-06 05:58:49,Donna23329416,kerja aja becus,"['kerja', 'aja', 'becus']","['kerja', 'aja', 'becus']","['kerja', 'aja', 'becus']"
100,2022-04-06 05:58:27,wiezz2,ak aamiin aamiin allahumma aamiin,"['ak', 'aamiin', 'aamiin', 'allahumma', 'aamiin']","['ak', 'aamiin', 'aamiin', 'allahumma', 'aamiin']","['ak', 'aamiin', 'aamiin', 'allahumma', 'aamiin']"
101,2022-04-06 05:56:49,RimaHawina,,[''],[''],['']
102,2022-04-06 05:56:35,ooooohm_,,[''],[''],['']
103,2022-04-06 05:56:26,PmanDGarp,pemerintahan paling brutal,"['pemerintahan', 'paling', 'brutal']","['pemerintahan', 'brutal']","['perintah', 'brutal']"
104,2022-04-06 05:56:19,keepithink_crab,atas dasar gerakan mahasiswa the and game over jokowi,"['atas', 'dasar', 'gerakan', 'mahasiswa', 'the', 'and', 'game', 'over', 'jokowi']","['dasar', 'gerakan', 'mahasiswa', 'the', 'and', 'game', 'over', 'jokowi']","['dasar', 'gera', 'mahasiswa', 'the', 'and', 'game', 'over', 'jokowi']"
105,2022-04-06 05:56:06,warrock_say,klo gak mampu serahkan yang lain islam punya solusi,"['klo', 'gak', 'mampu', 'serahkan', 'yang', 'lain', 'islam', 'punya', 'solusi']","['klo', 'gak', 'serahkan', 'islam', 'solusi']","['klo', 'gak', 'serah', 'islam', 'solusi']"
106,2022-04-06 05:55:43,SyahrilYutra,pemimpin terburuk,"['pemimpin', 'terburuk']","['pemimpin', 'terburuk']","['pimpin', 'buruk']"
107,2022-04-06 05:55:27,PmanDGarp,tanjung yang begini masih minta nambah periode,"['tanjung', 'yang', 'begini', 'masih', 'minta', 'nambah', 'periode']","['tanjung', 'nambah', 'periode']","['tanjung', 'nambah', 'periode']"
